year;title;author_lastname;author_firstname;gender;pub_year;pub_year_clean;fantasy;epoch;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
2023;Der Untertan;Mann;Heinrich;m;1914;1914;0;Moderne;;;;;;1;;;1;;;;;;;
2024;Der Untertan;Mann;Heinrich;m;1914;1914;0;Moderne;;;;;;1;;;;;;;;;;
2017;Der Verbrecher aus verlorener Ehre;Schiller;Friedrich;m;1786;1786;0;Aufklärung;;;;;;1;;;;;;;;;;
2018;Der Verbrecher aus verlorener Ehre;Schiller;Friedrich;m;1786;1786;0;Aufklärung;;;;;;1;;;;;;;;;;
2021;Der Verlorene;Treichel;Hans-Ulrich;m;1998;1998;0;Postemoderne, Gegenwartsliteratur;1;;;;;;;;;;;;;;;
2015;Der Verschollene;Kafka;Franz;m;1927;1927;0;Expressionismus;;;;;;1;;;;;;;;;;
2016;Der Verschollene;Kafka;Franz;m;1927;1927;0;Expressionismus;;;;;;1;;;;;;;;;;
2023;Der Verschollene;Kafka;Franz;m;1927;1927;0;Moderne;1;;;;;;;;;;;;;;;
2024;Der Verschollene;Kafka;Franz;m;1927;1927;0;Moderne;;;;;;;;;;;;;;;1;
2025;Der Verschollene;Kafka;Franz;m;1927;1927;0;Moderne;;;;;;;;;;;;;;;1;
2026;Der Verschollene;Kafka;Franz;m;1927;1927;0;Moderne;;;;;;;;;;;;;;;1;
2006;Der Vorleser;Schlink;Bernhard;m;1995;1995;0;Postmoderne;;;;1;;;;;;;;;1;;;
2011;Der Zauberlehrling;Goethe;Johann Wolfgang;m;1797;1797;0;Weimarer Klassik;;;;;;;;;1;;;;;;;
